Date,Dernier
2020-07-25,9677.11
2020-07-26,9905.17
2020-07-27,10990.87
2020-07-28,10912.82
2020-07-29,11100.47
2020-07-30,11111.21
2020-07-31,11323.47
2020-08-01,11759.59
2020-08-02,11053.61
2020-08-03,11246.35
2020-08-04,11205.89
2020-08-05,11747.02
2020-08-06,11779.77
2020-08-07,11601.47
2020-08-08,11754.05
2020-08-09,11675.74
2020-08-10,11878.11
2020-08-11,11410.53
2020-08-12,11584.93
2020-08-13,11784.14
2020-08-14,11768.87
2020-08-15,11865.7
2020-08-16,11892.8
2020-08-17,12254.4
2020-08-18,11991.23
2020-08-19,11758.28
2020-08-20,11878.37
2020-08-21,11592.49
2020-08-22,11681.83
2020-08-23,11664.85
2020-08-24,11774.6
2020-08-25,11366.13
2020-08-26,11488.36
2020-08-27,11323.4
2020-08-28,11542.5
2020-08-29,11506.87
2020-08-30,11711.51
2020-08-31,11680.82
2020-09-01,11970.48
2020-09-02,11414.03
2020-09-03,10245.3
2020-09-04,10511.81
2020-09-05,10169.57
2020-09-06,10280.35
2020-09-07,10369.56
2020-09-08,10131.52
2020-09-09,10242.35
2020-09-10,10363.14
2020-09-11,10400.92
2020-09-12,10442.17
2020-09-13,10323.76
2020-09-14,10680.84
2020-09-15,10796.95
2020-09-16,10974.91
2020-09-17,10948.99
2020-09-18,10944.59
2020-09-19,11094.35
2020-09-20,10938.27
2020-09-21,10462.26
2020-09-22,10538.46
2020-09-23,10225.86
2020-09-24,10745.55
2020-09-25,10702.29
2020-09-26,10754.44
2020-09-27,10774.43
2020-09-28,10721.33
2020-09-29,10848.83
2020-09-30,10787.62
2020-10-01,10623.33
2020-10-02,10585.16
2020-10-03,10565.49
2020-10-04,10684.43
2020-10-05,10804.0
2020-10-06,10621.66
2020-10-07,10679.14
2020-10-08,10923.63
2020-10-09,11079.47
2020-10-10,11296.36
2020-10-11,11384.18
2020-10-12,11555.36
2020-10-13,11425.9
2020-10-14,11429.51
2020-10-15,11495.35
2020-10-16,11322.12
2020-10-17,11358.1
2020-10-18,11483.36
2020-10-19,11742.04
2020-10-20,11916.33
2020-10-21,12823.69
2020-10-22,12965.89
2020-10-23,12931.54
2020-10-24,13108.06
2020-10-25,13031.17
2020-10-26,13075.25
2020-10-27,13654.22
2020-10-28,13271.29
2020-10-29,13437.88
2020-10-30,13546.52
2020-10-31,13781.0
2020-11-01,13737.11
2020-11-02,13550.49
2020-11-03,13950.3
2020-11-04,14133.71
2020-11-05,15579.85
2020-11-06,15565.88
2020-11-07,14833.75
2020-11-08,15479.57
2020-11-09,15332.32
2020-11-10,15290.9
2020-11-11,15701.34
2020-11-12,16276.34
2020-11-13,16317.81
2020-11-14,16068.14
2020-11-15,15955.59
2020-11-16,16716.11
2020-11-17,17645.41
2020-11-18,17804.01
2020-11-19,17817.09
2020-11-20,18621.31
2020-11-21,18642.23
2020-11-22,18370.0
2020-11-23,18364.12
2020-11-24,19107.46
2020-11-25,18732.12
2020-11-26,17150.62
2020-11-27,17108.4
2020-11-28,17717.41
2020-11-29,18177.48
2020-11-30,19625.84
2020-12-01,18803.0
2020-12-02,19201.09
2020-12-03,19445.4
2020-12-04,18699.77
2020-12-05,19154.23
2020-12-06,19345.12
2020-12-07,19191.63
2020-12-08,18321.14
2020-12-09,18553.92
2020-12-10,18264.99
2020-12-11,18058.9
2020-12-12,18803.66
2020-12-13,19142.38
2020-12-14,19246.64
2020-12-15,19417.08
2020-12-16,21310.6
2020-12-17,22805.16
2020-12-18,23137.96
2020-12-19,23869.83
2020-12-20,23477.29
2020-12-21,22803.08
2020-12-22,23783.03
2020-12-23,23241.35
2020-12-24,23735.95
2020-12-25,24664.79
2020-12-26,26437.04
2020-12-27,26272.29
2020-12-28,27084.81
2020-12-29,27362.44
2020-12-30,28840.95
2020-12-31,29001.72
2021-01-01,29374.15
2021-01-02,32127.27
2021-01-03,32782.02
2021-01-04,31971.91
2021-01-05,33992.43
2021-01-06,36824.36
2021-01-07,39371.04
2021-01-08,40797.61
2021-01-09,40254.55
2021-01-10,38356.44
2021-01-11,35566.66
2021-01-12,33922.96
2021-01-13,37316.36
2021-01-14,39187.33
2021-01-15,36825.37
2021-01-16,36178.14
2021-01-17,35791.28
2021-01-18,36630.07
2021-01-19,36069.8
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,34677.9
